Is it compulsory to stay in campus?,"Hostel stay is currently compulsory for the first three terms even for those who live near campus, as residential living aims to foster a sense of community which is an important component of the Freshmore experience. From 2022 onwards, due to a change in our academic calendar, hostel stay is compulsory only for the first two terms."
Is it compulsory to stay in the student hostel?,"Hostel stay is currently compulsory for the first three terms even for those who live near campus, as residential living aims to foster a sense of community which is an important component of the Freshmore experience. From 2022 onwards, due to a change in our academic calendar, hostel stay is compulsory only for the first two terms."
Is housing compulsory?,"Hostel stay is currently compulsory for the first three terms even for those who live near campus, as residential living aims to foster a sense of community which is an important component of the Freshmore experience. From 2022 onwards, due to a change in our academic calendar, hostel stay is compulsory only for the first two terms."
How are students assigned to their rooms?,"Freshmore students are paired in double rooms according to the class/cluster they are assigned to."
How are freshmores assigned to room mates?,"Freshmore students are paired in double rooms according to the class/cluster they are assigned to."
How are freshmores paired in double rooms?,"Freshmore students are paired in double rooms according to the class/cluster they are assigned to."
What if I am not comfortable with my assigned room?,"If you are uncomfortable, you can request for a change of accommodation by writing in to ecchousing@sutd.edu.sg, stating clearly the reason for the request. Any room change will be subject to the University’s discretion."
Can I change my room?,"If you are uncomfortable, you can request for a change of accommodation by writing in to ecchousing@sutd.edu.sg, stating clearly the reason for the request. Any room change will be subject to the University’s discretion."
How much does it cost to stay on campus?,"More information on housing fees and stay periods can be found at the Housing webpages. https://sutd.edu.sg/Campus-Life/Housing"
How much does hostel cost?,"More information on housing fees and stay periods can be found at the Housing webpages. https://sutd.edu.sg/Campus-Life/Housing"
is hostel free in sutd,"More information on housing fees and stay periods can be found at the Housing webpages. https://sutd.edu.sg/Campus-Life/Housing"
Is there any financial aid for students who are unable to afford the housing fees?,"Financial aid is available for housing. Singapore Citizens may choose to utilise funds from their Post-Secondary Education Account (PSEA) to pay for their housing fees in the first 3 academic terms of their Freshmore year. All students can apply for a Study Loan from DBS bank which provides an allowance that can be used to pay for the housing fees, provided they are already under a Tuition Fee Loan or the CPF Education Scheme, or receiving the Mendaki Tertiary Tuition Fee Subsidy."
Is there financial aid for hostel?,"Financial aid is available for housing. Singapore Citizens may choose to utilise funds from their Post-Secondary Education Account (PSEA) to pay for their housing fees in the first 3 academic terms of their Freshmore year. All students can apply for a Study Loan from DBS bank which provides an allowance that can be used to pay for the housing fees, provided they are already under a Tuition Fee Loan or the CPF Education Scheme, or receiving the Mendaki Tertiary Tuition Fee Subsidy."
Is there a curfew?,"There is no curfew for residents although students are expected to observe stipulated quiet hours to minimise disturbance to fellow residents."
Will parents or friends be allowed to visit students at the residence?,"Parents and friends are welcome to visit student housing during visiting hours from 8am to 11pm. All visitors must leave the hostel by 11pm."
Can we bring visitors into hostel?,"Parents and friends are welcome to visit student housing during visiting hours from 8am to 11pm. All visitors must leave the hostel by 11pm."
What are the undergraduate degree programmes offered by SUTD?,"The undergraduate degree programmes (direct honours) offered by SUTD are all on full-time basis only: Bachelor of Science (ASD); Bachelor of Science (DAI); Bachelor of Engineering (EPD); Bachelor of Engineering (ESD); Bachelor of Engineering (ISTD). https://www.sutd.edu.sg/Education/Unique-Academic-Structure/undergraduate-curriculum"
Who awards the degree?,"SUTD awards the degree."
Are there any part-time degree programmes?,"The undergraduate degree programmes offered by SUTD are all on full-time basis only"
Are all students allowed to take a minor in SUTD and what are the requirements?,"Students taking EPD/ESD/ISTD will be able to pursue a minor on top of their major, potentially without having to overload on the number of modules. You will get to indicate your preferred minor after you have made your choice of major at the end of Term 3. Both the major and minor requirements must be completed within the normal candidature of the undergraduate programme."
How are students assessed?,"The grading may be based on a combination of homework, design projects (1D, 2D), class participation/activity, online quizzes, mid-term tests and final exams, with the weightages varying for different subjects. Students are graded on a GPA of 5.0. To help ease your transition to the university, all four subjects taken in the first Freshmore term are not graded. From the 2019 cohort onwards, students can also choose an additional two subjects from Freshmore terms 2 and 3 to be ungraded."
How are students graded?,"The grading may be based on a combination of homework, design projects (1D, 2D), class participation/activity, online quizzes, mid-term tests and final exams, with the weightages varying for different subjects. Students are graded on a GPA of 5.0. To help ease your transition to the university, all four subjects taken in the first Freshmore term are not graded. From the 2019 cohort onwards, students can also choose an additional two subjects from Freshmore terms 2 and 3 to be ungraded."
What is the grading system like?,"The grading may be based on a combination of homework, design projects (1D, 2D), class participation/activity, online quizzes, mid-term tests and final exams, with the weightages varying for different subjects. Students are graded on a GPA of 5.0. To help ease your transition to the university, all four subjects taken in the first Freshmore term are not graded. From the 2019 cohort onwards, students can also choose an additional two subjects from Freshmore terms 2 and 3 to be ungraded."
What is Integrated Learning Programme?,"The Integrated Learning programme (ILP) is a bridging programme unique to SUTD and is available to students belonging to one of the groups: Returning NSmen who are commencing their studies in the upcoming academic year and are participating in the Early Matriculation Exercise"
What is ILP?,"The Integrated Learning programme (ILP) is a bridging programme unique to SUTD and is available to students belonging to one of the groups: Returning NSmen who are commencing their studies in the upcoming academic year and are participating in the Early Matriculation Exercise"
Who can apply for Integrated Learning Programme?,"Students who are participating in the Early Matriculation Exercise and are enrolling in the upcoming academic year, such as returning NSmen or students who took a gap year, can apply for ILP."
Who can apply for ILP?,"Students who are participating in the Early Matriculation Exercise and are enrolling in the upcoming academic year, such as returning NSmen or students who took a gap year, can apply for ILP."
How do I apply for Integrated Learning Programme and is full attendance compulsory?,"While attendance is not mandatory for ILP, there will not be any make-up lessons."
How do I apply for ILP and is full attendance compulsory?,"While attendance is not mandatory for ILP, there will not be any make-up lessons."
I am currently serving NS and my ORD is after the Early Matriculation day. Will I be able to register for Early Matriculation?,"We will consider on a case by case basis, especially if your ORD is very close to the Early Matriculation day."
What are the benefits of joining Early Matriculation Exercise?,"The Early Matriculation Exercise is where you will be officially welcomed into the SUTD Family and get orientated into being a SUTDent. You can enjoy benefits which include access to campus facilities and resources, ability to partake in Fifth Row Club activities, get trained early in the Fab Lab, participate as student volunteers or earn extra cash as student helpers."
"As an early matriculated student, am I allowed to stay in the hostel between before Term starts?","Freshmores are to check into the hostel on the day of matriculation. Those who would like to check-in earlier may email their request to Office of Housing. Requests are subject to availability."
How do I apply for scholarships at SUTD?,"In your online application for admission, simply check the box in the section on Scholarships to indicate your interest to apply. "
What are your admission requirements or cut-off points for Architecture and Sustainable Design or EPD or ESD or ISTD?,"SUTD practises a common admission selection regardless of your programme interest, as all SUTD students will be taking common modules in the first year. You will get to choose your major and are guaranteed your choice at the end of Term 3 without any prerequisites other than passing all your Freshmore modules."
What are your admission requirements or cut-off points for Architecture and Sustainable Design Pillar or EPD or ESD or ISTD?,"SUTD practises a common admission selection regardless of your programme interest, as all SUTD students will be taking common modules in the first year. You will get to choose your major and are guaranteed your choice at the end of Term 3 without any prerequisites other than passing all your Freshmore modules."
What are your admission requirements or cut-off points for ASD pillar or EPD or ESD or ISTD?,"SUTD practises a common admission selection regardless of your programme interest, as all SUTD students will be taking common modules in the first year. You will get to choose your major and are guaranteed your choice at the end of Term 3 without any prerequisites other than passing all your Freshmore modules."
What are your admission requirements or cut-off points for archi or EPD or ESD or ISTD?,"SUTD practises a common admission selection regardless of your programme interest, as all SUTD students will be taking common modules in the first year. You will get to choose your major and are guaranteed your choice at the end of Term 3 without any prerequisites other than passing all your Freshmore modules."
What are your admission requirements or cut-off points for architecture or EPD or ESD or ISTD?,"SUTD practises a common admission selection regardless of your programme interest, as all SUTD students will be taking common modules in the first year. You will get to choose your major and are guaranteed your choice at the end of Term 3 without any prerequisites other than passing all your Freshmore modules."
What are your admission requirements or cut-off points for ASD or Engineering Product Development or ESD or ISTD?,"SUTD practises a common admission selection regardless of your programme interest, as all SUTD students will be taking common modules in the first year. You will get to choose your major and are guaranteed your choice at the end of Term 3 without any prerequisites other than passing all your Freshmore modules."
What are your admission requirements or cut-off points for ASD or Engineering Product Development pillar or ESD or ISTD?,"SUTD practises a common admission selection regardless of your programme interest, as all SUTD students will be taking common modules in the first year. You will get to choose your major and are guaranteed your choice at the end of Term 3 without any prerequisites other than passing all your Freshmore modules."
What are your admission requirements or cut-off points for ASD or EPD pillar or ESD or ISTD?,"SUTD practises a common admission selection regardless of your programme interest, as all SUTD students will be taking common modules in the first year. You will get to choose your major and are guaranteed your choice at the end of Term 3 without any prerequisites other than passing all your Freshmore modules."
What are your admission requirements or cut-off points for ASD or EPD or Engineering Systems and Design or ISTD?,"SUTD practises a common admission selection regardless of your programme interest, as all SUTD students will be taking common modules in the first year. You will get to choose your major and are guaranteed your choice at the end of Term 3 without any prerequisites other than passing all your Freshmore modules."
What are your admission requirements or cut-off points for ASD or EPD or Engineering Systems and Design pillar or ISTD?,"SUTD practises a common admission selection regardless of your programme interest, as all SUTD students will be taking common modules in the first year. You will get to choose your major and are guaranteed your choice at the end of Term 3 without any prerequisites other than passing all your Freshmore modules."
What are your admission requirements or cut-off points for ASD or EPD or ESD pillar or ISTD?,"SUTD practises a common admission selection regardless of your programme interest, as all SUTD students will be taking common modules in the first year. You will get to choose your major and are guaranteed your choice at the end of Term 3 without any prerequisites other than passing all your Freshmore modules."
What are your admission requirements or cut-off points for ASD or EPD or ESD or Information Systems Technology and Design?,"SUTD practises a common admission selection regardless of your programme interest, as all SUTD students will be taking common modules in the first year. You will get to choose your major and are guaranteed your choice at the end of Term 3 without any prerequisites other than passing all your Freshmore modules."
