Are there any tips on studying and juggling the workload?,"Study tips: Stay in class. Do not over commit. Plan what you want to do"
Will I be able to have a social life in SUTD?,"In SUTD, you will certainly have time here and there to go out to eat, but don't expect to club every weekend and not fall behind on work"
What's a good grade for a subject?,"Typically, anything B+ or higher. This depends on module, though: in some module a B is pretty much close to median, in others B is like a top percentile grade. SUTD does not grade on a bell curve."
Is Information Systems Technology and Design hard to score in?,"ISTD can be hard to score in - it depends on what kind of courses you take. "
Is Information Systems Technology and Design pillar hard to score in?,"ISTD can be hard to score in - it depends on what kind of courses you take. "
Is ISTD pillar hard to score in?,"ISTD can be hard to score in - it depends on what kind of courses you take. "
Is ISTD hard to score in?,"ISTD can be hard to score in - it depends on what kind of courses you take. "
Is Engineering Product Development hard to score in?,"EPD can be hard to score in - it depends on what kind of courses you take. "
Is Engineering Product Development pillar hard to score in?,"EPD can be hard to score in - it depends on what kind of courses you take. "
Is EPD pillar hard to score in?,"EPD can be hard to score in - it depends on what kind of courses you take. "
Is EPD hard to score in?,"EPD can be hard to score in - it depends on what kind of courses you take. "
Is Engineering Systems and Design hard to score in?,"ESD can be hard to score in. There is a greater focus on analysis and writing, compared to the other pillars."
Is Engineering Systems and Design pillar hard to score in?,"ESD can be hard to score in. There is a greater focus on analysis and writing, compared to the other pillars."
Is ESD pillar hard to score in?,"ESD can be hard to score in. There is a greater focus on analysis and writing, compared to the other pillars."
Is ESD hard to score in?,"ESD can be hard to score in. There is a greater focus on analysis and writing, compared to the other pillars."
How much sleep can students expect to have every day?,"You might have heard of stories about how students sleep very little in SUTD. It varies from person to person depending on commitments etc, to so measure workload based on how much sleep you get is quite subjective"
Do you have free time in SUTD?,"You will still have some free time! However, during crunch time, your pockets of free time will become more scarce"
Do you have crunch times where you don’t get 8 hours of sleep?,"There will be periods in which students get little sleep, especially during crunch time with projects, homework and other assignments due. "
Is it normal to lack sleep?,"It is normal to lack sleep if you want to have good grades, or to focus on your side projects while maintaining your grades. That said, it is not impossible to maintain a healthy amount of sleep!"
Is the lack of sleep because there is too much work?,"The amount of work varies between students, and between terms. Some modules will naturally have a higher workload than others, and it is up to students to manage their time wisely."
Is the lack of sleep because the curriculum is too hard?,"The amount of work varies between students, and between terms. Some modules will naturally have a higher workload than others, and it is up to students to manage their time wisely."
Are the lack of sleep stories true?,"With a spoon of salt, perhaps. These stories propagate precisely because they are over-the-top and memorable. But yes, there will definitely be some sleepless nights."
Why do SUTD students seem so busy?,"Some terms are more busy than others, but often times it is because students tend to bite off more than they can chew. It really depends on how you choose to spend your time. "
Where are the vending machines in SUTD?,"Drinks and snack machines can be found in Building 1 Level 3, Building 2, Level 5. Pay by PayLah or cash, WeChat/AliPay. Bottled drink (500ml) cost $1.20"
Where’s the nearest cinema hall?,"Tampines has 2 theatres, Jewel has 1 theatre."
What food is there in SUTD?,"There's the canteen, and some cafes like GomGom, Crooked Cooks, MyNonnas and D'Star Bistro serving a variety of Asian and Western cuisines."
How’s the canteen food?,"Canteen food is subjective, but most people think it is not great. Indian store is good. Drinks from drink store (Canopy) tend to be watered down. "
is the canteen food expensive?,"Canteen food is mostly affordable and there are $2.50 meals in most canteen stalls."
Is food in SUTD expensive?,"Canteen food is mostly affordable and there are $2.50 meals in most canteen stalls."
is there anything to eat around school?,"Changi City Point. Simei and Tampines. Simpang Bedok (Supper), and East Village near that. Bedok South has hawker centres. Fengshan Blk 85. "
What food is good around SUTD?,"Changi City Point. Simei and Tampines. Simpang Bedok (Supper), and East Village near that. Bedok South has hawker centres. Fengshan Blk 85. "
How much will I expect to spend every month in SUTD?,"Around $400 is a good benchmark. More/less depending on frequency of going out. Most of the money is spent on food"
How do I know where is free food?,"For free food announcements, SUTD Family facebook group, and your classmates will post free food announcements. There's also a Telegram bot @food4me_bot"
How do I start an Interest Group?,"To start an interest group, the first step is to gather a few similarly-minded people, and then e-mail the Office of Student Life about your want to create an interest group, and to clarify the process."
Do I need a graphic calculator?,"You do not strictly require a graphic calculator, but it can be useful for some modules"
Do I need a GC?,"You do not strictly require a graphic calculator, but it can be useful for some modules"
Can I skip any lessons?,"You able able to skip lessons but not recommended. Do it sparingly, otherwise once you fall behind very hard to catch up. Most HASS classes will take attendance."
Does SUTD allow students to take a gap year?,"You’ll have to apply for a leave of absence in order to take a gap year. "
What is UROP?,"Undergrad Research Opportunities Program. Allows you to conduct research with a prof in his field, or otherwise propose a research project."
What is UROP for?,"Undergrad Research Opportunities Program. Allows you to conduct research with a prof in his field, or otherwise propose a research project."
